khasra_no,village,project,stage,sec_11_date,days_elapsed_sec11,statutory_days_left,unpartitioned_khata,court_stay,forest_clearance,circle_to_market_ratio,disbursement_pct,delay_days,risk_tier,status_color
KH-528/3,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-04-05,271,94,0,0,Not Required,0.94,89.8,0,Low,green
KH-778/8,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-09-20,103,262,0,0,Pending,0.72,64.7,77,Medium,yellow
KH-838/5,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-08-13,141,224,0,1,Not Required,0.6,0.0,218,Critical,red
KH-312/8,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-03-06,301,64,0,0,Pending,1.05,81.7,64,Medium,yellow
KH-656/7,Mehrauli Dehat,Dedicated Freight Corridor,Section 15 (Hearing),2024-07-22,163,202,0,0,Approved,0.43,0.0,105,High,red
KH-319/4,Shahpur,Dedicated Freight Corridor,Possession Taken,2023-12-27,371,-6,0,0,Not Required,0.59,100.0,58,Medium,green
KH-348/1,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-11-21,41,324,0,0,Not Required,0.47,0.0,72,Medium,yellow
KH-889/3,Rampur,Delhi-Amritsar Expressway,Award Enquiry,2024-01-18,349,16,0,0,Not Required,1.05,87.1,0,Low,green
KH-394/6,Bhatinda Khurd,NH-44 Expansion,Section 11 (Notice),2024-01-19,348,17,1,0,Approved,0.8,0.0,299,Critical,red
KH-138/3,Mehrauli Dehat,Delhi-Amritsar Expressway,Section 11 (Notice),2023-10-16,443,-78,0,0,Not Required,0.68,0.0,0,Low,green
KH-993/5,Rampur,NH-44 Expansion,Section 19 (Declaration),2024-03-02,305,60,0,0,Not Required,0.82,90.3,0,Low,green
KH-756/9,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-10-09,450,-85,0,0,Not Required,0.75,0.0,0,Low,green
KH-438/3,Fatehpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-12-16,382,-17,0,0,Approved,0.53,77.9,70,Medium,yellow
KH-279/7,Shahpur,PMGSY Phase-3 Link Road,Possession Taken,2024-07-03,182,183,1,0,Approved,0.46,100.0,216,Critical,green
KH-431/4,Rampur,Dedicated Freight Corridor,Award Enquiry,2024-08-19,135,230,0,0,Pending,0.71,47.4,62,Medium,yellow
KH-111/5,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-11-16,46,319,1,0,Not Required,0.87,0.0,140,High,red
KH-614/5,Fatehpur,NH-44 Expansion,Section 19 (Declaration),2024-06-12,203,162,1,0,Not Required,0.83,12.7,105,High,red
KH-720/6,Mehrauli Dehat,PMGSY Phase-3 Link Road,Possession Taken,2023-11-03,425,-60,0,0,Not Required,0.86,100.0,0,Low,green
KH-872/2,Sultanpur,PMGSY Phase-3 Link Road,Possession Taken,2023-12-23,375,-10,0,0,Not Required,0.65,100.0,0,Low,green
KH-268/6,Shahpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-01-04,363,2,1,0,Not Required,0.54,0.0,318,Critical,red
KH-928/1,Mehrauli Dehat,Delhi-Amritsar Expressway,Possession Taken,2024-05-19,227,138,1,1,Approved,0.72,100.0,384,Critical,green
KH-840/1,Mehrauli Dehat,Dedicated Freight Corridor,Section 11 (Notice),2023-12-02,396,-31,0,0,Not Required,0.55,0.0,131,High,red
KH-165/9,Rampur,NH-44 Expansion,Award Enquiry,2024-12-01,31,334,0,0,Not Required,0.6,41.7,0,Low,green
KH-846/7,Bhatinda Khurd,PMGSY Phase-3 Link Road,Award Enquiry,2024-06-07,208,157,0,0,Not Required,0.66,74.4,9,Low,green
KH-769/6,Rampur,Delhi-Amritsar Expressway,Possession Taken,2024-05-30,216,149,0,0,Not Required,0.77,100.0,7,Low,green
KH-103/1,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-05-14,232,133,1,0,Approved,0.77,100.0,109,High,green
KH-382/4,Fatehpur,NH-44 Expansion,Section 11 (Notice),2023-10-30,429,-64,1,0,Not Required,0.86,0.0,276,Critical,red
KH-149/4,Fatehpur,NH-44 Expansion,Award Enquiry,2024-05-07,239,126,0,0,Approved,0.56,44.1,52,Medium,yellow
KH-891/6,Kalyanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-01-14,353,12,0,0,Not Required,0.76,0.0,0,Low,green
KH-670/3,Fatehpur,PMGSY Phase-3 Link Road,Possession Taken,2024-04-08,268,97,0,0,Approved,0.43,100.0,77,Medium,green
KH-526/7,Kalyanpur,Dedicated Freight Corridor,Award Enquiry,2024-09-14,109,256,0,1,Approved,0.93,60.8,189,Critical,red
KH-925/8,Rampur,PMGSY Phase-3 Link Road,Award Enquiry,2024-03-07,300,65,0,0,Not Required,0.77,55.2,0,Low,green
KH-180/8,Shahpur,Dedicated Freight Corridor,Section 11 (Notice),2024-03-18,289,76,0,0,Not Required,0.91,0.0,0,Low,green
KH-789/1,Shahpur,NH-44 Expansion,Section 15 (Hearing),2023-11-02,426,-61,0,0,Pending,0.93,0.0,111,High,red
KH-313/6,Bhatinda Khurd,NH-44 Expansion,Section 15 (Hearing),2024-09-11,112,253,0,0,Not Required,1.07,0.0,0,Low,green
KH-718/4,Mehrauli Dehat,Delhi-Amritsar Expressway,Possession Taken,2024-07-06,179,186,1,0,Not Required,0.94,100.0,135,High,green
KH-415/5,Bhatinda Khurd,PMGSY Phase-3 Link Road,Award Enquiry,2024-10-28,65,300,1,0,Pending,0.96,30.3,236,Critical,red
KH-146/4,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-08-06,148,217,0,0,Approved,0.79,0.0,7,Low,green
KH-402/3,Kalyanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-06-06,209,156,1,0,Approved,0.8,0.0,120,High,red
KH-801/6,Bhatinda Khurd,PMGSY Phase-3 Link Road,Award Enquiry,2024-04-26,250,115,0,0,Not Required,0.52,81.7,34,Medium,yellow
KH-288/9,Fatehpur,NH-44 Expansion,Possession Taken,2024-11-30,32,333,0,0,Approved,0.99,100.0,0,Low,green
KH-169/3,Rampur,Delhi-Amritsar Expressway,Possession Taken,2024-04-28,248,117,0,0,Approved,0.66,100.0,9,Low,green
KH-731/8,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-12-14,18,347,0,0,Not Required,0.77,0.0,0,Low,green
KH-839/5,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-04-04,272,93,0,0,Not Required,0.97,0.0,23,Low,green
KH-283/2,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-09-10,113,252,0,0,Not Required,0.83,0.0,0,Low,green
KH-914/7,Rampur,Dedicated Freight Corridor,Award Enquiry,2024-04-26,250,115,1,0,Pending,0.8,39.7,228,Critical,red
KH-769/1,Rampur,PMGSY Phase-3 Link Road,Award Enquiry,2024-06-07,208,157,0,0,Approved,0.79,33.6,0,Low,green
KH-903/6,Sultanpur,NH-44 Expansion,Possession Taken,2024-11-26,36,329,0,0,Not Required,0.56,100.0,108,High,green
KH-147/2,Fatehpur,Dedicated Freight Corridor,Possession Taken,2024-03-04,303,62,0,1,Pending,0.86,100.0,305,Critical,green
KH-940/7,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-03-04,303,62,1,0,Approved,0.57,0.0,242,Critical,red
KH-873/3,Shahpur,NH-44 Expansion,Possession Taken,2023-12-02,396,-31,1,0,Not Required,1.08,100.0,82,Medium,green
KH-177/6,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-12-02,30,335,1,0,Pending,0.84,32.4,222,Critical,red
KH-484/7,Kalyanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-11-18,410,-45,0,0,Not Required,0.83,0.0,26,Low,green
KH-184/5,Kalyanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-12-05,393,-28,0,0,Pending,0.67,0.0,75,Medium,yellow
KH-376/2,Kalyanpur,NH-44 Expansion,Section 15 (Hearing),2024-05-11,235,130,1,0,Not Required,0.71,0.0,161,High,red
KH-191/6,Sultanpur,NH-44 Expansion,Possession Taken,2024-02-15,321,44,1,0,Pending,0.95,100.0,190,Critical,green
KH-186/9,Kalyanpur,Delhi-Amritsar Expressway,Award Enquiry,2024-09-22,101,264,0,0,Not Required,0.5,49.6,65,Medium,yellow
KH-382/7,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-06-16,199,166,0,0,Approved,0.58,0.0,71,Medium,yellow
KH-731/4,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2024-07-15,170,195,0,1,Not Required,0.4,0.0,331,Critical,red
KH-982/6,Mehrauli Dehat,Dedicated Freight Corridor,Award Enquiry,2023-10-27,432,-67,0,1,Approved,0.98,72.3,171,High,red
KH-811/4,Mehrauli Dehat,Dedicated Freight Corridor,Section 15 (Hearing),2024-05-28,218,147,0,1,Approved,1.08,0.0,240,Critical,red
KH-689/4,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-10-26,433,-68,0,0,Approved,0.95,53.7,13,Low,green
KH-658/3,Fatehpur,NH-44 Expansion,Award Enquiry,2023-12-21,377,-12,0,0,Pending,0.55,81.8,225,Critical,red
KH-242/5,Kalyanpur,Dedicated Freight Corridor,Section 15 (Hearing),2023-12-17,381,-16,1,0,Not Required,0.7,0.0,137,High,red
KH-618/7,Sultanpur,NH-44 Expansion,Section 19 (Declaration),2023-12-24,374,-9,0,0,Not Required,1.03,64.9,3,Low,green
KH-887/4,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-01-21,346,19,0,0,Pending,0.83,0.0,85,Medium,yellow
KH-915/7,Rampur,NH-44 Expansion,Section 11 (Notice),2024-08-07,147,218,0,0,Not Required,0.56,0.0,82,Medium,yellow
KH-326/8,Bhatinda Khurd,PMGSY Phase-3 Link Road,Award Enquiry,2023-11-18,410,-45,1,0,Not Required,0.88,29.2,104,High,red
KH-207/5,Mehrauli Dehat,NH-44 Expansion,Section 11 (Notice),2023-10-19,440,-75,1,0,Not Required,1.06,0.0,202,Critical,red
KH-903/4,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-04-18,258,107,1,0,Approved,0.47,30.3,207,Critical,red
KH-919/3,Fatehpur,Delhi-Amritsar Expressway,Possession Taken,2024-09-19,104,261,1,0,Not Required,0.79,100.0,169,High,green
KH-337/7,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-01-25,342,23,0,0,Pending,0.86,0.0,65,Medium,yellow
KH-498/1,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-07-28,157,208,0,0,Not Required,0.93,0.0,0,Low,green
KH-568/2,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-01-25,342,23,1,0,Approved,0.62,100.0,145,High,green
KH-456/6,Shahpur,PMGSY Phase-3 Link Road,Possession Taken,2024-09-20,103,262,0,0,Not Required,0.97,100.0,7,Low,green
KH-729/2,Fatehpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-10-18,75,290,1,1,Approved,0.57,9.1,392,Critical,red
KH-688/7,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-01-27,340,25,1,1,Approved,0.78,37.2,391,Critical,red
KH-291/6,Shahpur,PMGSY Phase-3 Link Road,Possession Taken,2024-11-20,42,323,0,0,Approved,1.01,100.0,22,Low,green
KH-299/7,Sultanpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-01-02,365,0,0,0,Pending,0.74,76.2,87,Medium,yellow
KH-131/4,Bhatinda Khurd,NH-44 Expansion,Section 19 (Declaration),2024-08-24,130,235,1,0,Not Required,0.78,10.9,155,High,red
KH-607/9,Sultanpur,NH-44 Expansion,Possession Taken,2024-10-20,73,292,1,0,Not Required,0.59,100.0,231,Critical,green
KH-878/8,Sultanpur,Delhi-Amritsar Expressway,Award Enquiry,2024-10-26,67,298,1,0,Approved,0.92,27.9,119,High,red
KH-936/2,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2024-09-01,122,243,0,0,Not Required,0.97,0.0,3,Low,green
KH-827/7,Kalyanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2023-10-28,431,-66,0,0,Not Required,0.54,0.0,51,Medium,yellow
KH-711/9,Kalyanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-07-22,163,202,0,0,Approved,0.8,91.9,3,Low,green
KH-934/2,Kalyanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-07-29,156,209,1,0,Not Required,1.01,0.0,111,High,red
KH-249/6,Shahpur,Delhi-Amritsar Expressway,Award Enquiry,2024-04-11,265,100,1,0,Not Required,0.5,27.1,237,Critical,red
KH-913/2,Mehrauli Dehat,Dedicated Freight Corridor,Section 19 (Declaration),2024-04-29,247,118,0,0,Not Required,1.07,51.3,22,Low,green
KH-569/6,Shahpur,NH-44 Expansion,Possession Taken,2024-05-28,218,147,0,0,Pending,0.55,100.0,144,High,green
KH-390/6,Sultanpur,Delhi-Amritsar Expressway,Possession Taken,2024-04-13,263,102,0,0,Approved,0.95,100.0,0,Low,green
KH-997/5,Rampur,Dedicated Freight Corridor,Section 19 (Declaration),2024-11-05,57,308,0,0,Not Required,0.66,88.7,0,Low,green
KH-412/4,Mehrauli Dehat,NH-44 Expansion,Section 11 (Notice),2024-12-17,15,350,1,0,Not Required,0.55,0.0,157,High,red
KH-555/1,Rampur,Dedicated Freight Corridor,Section 11 (Notice),2024-05-15,231,134,0,1,Approved,0.89,0.0,254,Critical,red
KH-848/2,Rampur,Dedicated Freight Corridor,Section 19 (Declaration),2024-07-17,168,197,0,0,Approved,0.5,80.3,64,Medium,yellow
KH-170/9,Sultanpur,NH-44 Expansion,Possession Taken,2024-01-20,347,18,0,1,Not Required,0.51,100.0,300,Critical,green
KH-521/8,Shahpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-10-27,66,299,0,0,Not Required,0.5,0.0,55,Medium,yellow
KH-539/6,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-07-29,156,209,0,0,Approved,0.85,0.0,0,Low,green
KH-838/5,Shahpur,NH-44 Expansion,Section 19 (Declaration),2024-09-03,120,245,0,0,Not Required,0.76,63.1,9,Low,green
KH-155/4,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-08-16,138,227,0,0,Not Required,0.75,0.0,5,Low,green
KH-112/6,Bhatinda Khurd,Delhi-Amritsar Expressway,Award Enquiry,2023-10-15,444,-79,0,0,Pending,0.8,53.8,87,Medium,yellow
KH-888/2,Rampur,NH-44 Expansion,Section 11 (Notice),2024-08-05,149,216,0,0,Approved,0.55,0.0,67,Medium,yellow
KH-393/9,Shahpur,PMGSY Phase-3 Link Road,Award Enquiry,2023-12-24,374,-9,0,0,Not Required,0.68,71.6,1,Low,green
KH-185/5,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-03-18,289,76,1,0,Not Required,0.63,0.0,185,Critical,red
KH-797/2,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-11-18,44,321,0,0,Approved,0.57,0.0,46,Medium,yellow
KH-156/5,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-12-11,21,344,0,0,Approved,0.9,0.0,6,Low,green
KH-455/9,Sultanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-06-10,205,160,0,0,Not Required,0.49,0.0,68,Medium,yellow
KH-130/6,Shahpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-03-24,283,82,0,0,Approved,0.44,76.3,87,Medium,yellow
KH-623/6,Rampur,PMGSY Phase-3 Link Road,Possession Taken,2024-09-23,100,265,1,0,Not Required,0.66,100.0,127,High,green
KH-858/9,Rampur,NH-44 Expansion,Section 11 (Notice),2024-08-14,140,225,1,0,Not Required,0.43,0.0,218,Critical,red
KH-978/1,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-07-06,179,186,1,0,Not Required,0.57,0.0,211,Critical,red
KH-222/9,Fatehpur,NH-44 Expansion,Section 15 (Hearing),2024-08-25,129,236,0,0,Not Required,0.96,0.0,0,Low,green
KH-389/5,Bhatinda Khurd,NH-44 Expansion,Possession Taken,2024-04-28,248,117,0,0,Pending,0.41,100.0,137,High,green
KH-737/4,Mehrauli Dehat,Dedicated Freight Corridor,Possession Taken,2024-04-09,267,98,1,0,Not Required,1.1,100.0,128,High,green
KH-915/4,Kalyanpur,NH-44 Expansion,Award Enquiry,2024-12-05,27,338,0,0,Not Required,0.56,52.5,121,High,red
KH-206/4,Sultanpur,Delhi-Amritsar Expressway,Award Enquiry,2024-04-10,266,99,0,0,Approved,1.07,93.2,0,Low,green
KH-144/4,Shahpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-04-27,249,116,0,0,Pending,1.08,35.5,66,Medium,yellow
KH-503/2,Sultanpur,NH-44 Expansion,Award Enquiry,2024-01-13,354,11,1,0,Pending,1.07,13.3,213,Critical,red
KH-817/6,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-08-20,134,231,0,1,Approved,0.45,43.2,339,Critical,red
KH-577/6,Mehrauli Dehat,NH-44 Expansion,Possession Taken,2024-06-17,198,167,0,0,Not Required,1.08,100.0,0,Low,green
KH-371/2,Rampur,Delhi-Amritsar Expressway,Section 19 (Declaration),2023-10-21,438,-73,0,0,Not Required,0.89,69.2,0,Low,green
KH-464/7,Sultanpur,NH-44 Expansion,Section 19 (Declaration),2024-08-06,148,217,0,0,Pending,0.97,41.3,115,High,red
KH-866/9,Kalyanpur,NH-44 Expansion,Award Enquiry,2024-10-26,67,298,0,0,Not Required,0.96,39.1,13,Low,green
KH-745/2,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-12-06,26,339,0,1,Not Required,1.1,0.0,218,Critical,red
KH-231/2,Shahpur,Dedicated Freight Corridor,Section 11 (Notice),2024-11-26,36,329,0,0,Approved,1.06,0.0,0,Low,green
KH-608/1,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-06-19,196,169,1,0,Not Required,0.55,0.0,165,High,red
KH-521/9,Mehrauli Dehat,NH-44 Expansion,Section 11 (Notice),2024-07-27,158,207,0,0,Pending,0.67,0.0,87,Medium,yellow
KH-921/9,Shahpur,NH-44 Expansion,Award Enquiry,2023-11-13,415,-50,1,0,Approved,0.9,21.8,142,High,red
KH-429/7,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 11 (Notice),2024-07-07,178,187,1,0,Pending,0.82,0.0,221,Critical,red
KH-928/8,Sultanpur,Dedicated Freight Corridor,Possession Taken,2024-08-20,134,231,0,0,Approved,1.08,100.0,0,Low,green
KH-372/9,Shahpur,NH-44 Expansion,Section 15 (Hearing),2024-02-27,309,56,0,0,Approved,0.99,0.0,11,Low,green
KH-959/3,Kalyanpur,Delhi-Amritsar Expressway,Possession Taken,2024-07-08,177,188,0,0,Not Required,0.96,100.0,26,Low,green
KH-676/4,Shahpur,PMGSY Phase-3 Link Road,Possession Taken,2024-07-12,173,192,0,0,Not Required,0.52,100.0,33,Medium,green
KH-324/1,Sultanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-07-01,184,181,1,0,Approved,1.04,0.0,126,High,red
KH-281/6,Rampur,NH-44 Expansion,Section 15 (Hearing),2024-02-21,315,50,0,0,Pending,0.89,0.0,66,Medium,yellow
KH-409/6,Kalyanpur,Delhi-Amritsar Expressway,Award Enquiry,2023-11-08,420,-55,1,0,Not Required,0.85,22.1,139,High,red
KH-703/3,Mehrauli Dehat,Dedicated Freight Corridor,Section 19 (Declaration),2024-10-13,80,285,0,0,Not Required,0.52,30.1,107,High,red
KH-889/1,Kalyanpur,Dedicated Freight Corridor,Possession Taken,2024-08-26,128,237,0,0,Not Required,0.85,100.0,0,Low,green
KH-439/2,Kalyanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-09-23,100,265,1,0,Not Required,0.85,38.7,196,Critical,red
KH-443/8,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-08-12,142,223,1,0,Approved,0.89,0.0,126,High,red
KH-101/1,Mehrauli Dehat,PMGSY Phase-3 Link Road,Award Enquiry,2024-09-23,100,265,0,0,Pending,1.02,62.1,77,Medium,yellow
KH-948/8,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-04-30,246,119,1,0,Not Required,0.45,0.0,141,High,red
KH-484/3,Fatehpur,NH-44 Expansion,Possession Taken,2024-10-31,62,303,0,0,Not Required,0.64,100.0,9,Low,green
KH-769/3,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-11-20,42,323,1,0,Pending,0.47,0.0,277,Critical,red
KH-847/9,Bhatinda Khurd,Dedicated Freight Corridor,Section 19 (Declaration),2024-08-18,136,229,0,0,Approved,0.47,55.5,90,High,red
KH-469/1,Mehrauli Dehat,NH-44 Expansion,Section 19 (Declaration),2023-10-23,436,-71,1,0,Pending,0.86,26.0,175,High,red
KH-964/2,Bhatinda Khurd,PMGSY Phase-3 Link Road,Award Enquiry,2024-04-11,265,100,1,0,Pending,1.03,14.3,261,Critical,red
KH-490/6,Kalyanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-08-05,149,216,0,0,Not Required,0.71,0.0,0,Low,green
KH-677/1,Kalyanpur,NH-44 Expansion,Section 11 (Notice),2024-01-10,357,8,1,1,Not Required,0.64,0.0,522,Critical,red
KH-938/9,Mehrauli Dehat,PMGSY Phase-3 Link Road,Possession Taken,2024-08-19,135,230,1,1,Not Required,0.73,100.0,351,Critical,green
KH-919/3,Rampur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-09-23,100,265,0,1,Not Required,1.08,0.0,182,Critical,red
KH-799/7,Kalyanpur,Delhi-Amritsar Expressway,Possession Taken,2024-08-07,147,218,1,0,Pending,0.62,100.0,158,High,green
KH-433/5,Sultanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-11-11,417,-52,1,1,Not Required,0.89,0.0,556,Critical,red
KH-253/3,Sultanpur,NH-44 Expansion,Section 11 (Notice),2024-03-04,303,62,1,0,Not Required,0.95,0.0,139,High,red
KH-770/8,Sultanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-09-20,103,262,1,0,Approved,0.59,0.0,201,Critical,red
KH-139/7,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 11 (Notice),2023-12-02,396,-31,0,0,Not Required,0.73,0.0,0,Low,green
KH-445/5,Bhatinda Khurd,Dedicated Freight Corridor,Award Enquiry,2023-12-27,371,-6,1,0,Approved,0.88,39.0,110,High,red
KH-375/7,Sultanpur,NH-44 Expansion,Section 15 (Hearing),2024-05-05,241,124,0,0,Approved,0.55,0.0,96,High,red
KH-988/6,Shahpur,NH-44 Expansion,Possession Taken,2023-11-08,420,-55,1,0,Approved,0.51,100.0,219,Critical,green
KH-971/9,Sultanpur,NH-44 Expansion,Section 15 (Hearing),2024-09-10,113,252,1,0,Not Required,1.01,0.0,126,High,red
KH-567/1,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-06-12,203,162,0,0,Not Required,0.98,62.8,3,Low,green
KH-131/4,Bhatinda Khurd,PMGSY Phase-3 Link Road,Possession Taken,2024-05-03,243,122,1,0,Pending,0.52,100.0,322,Critical,green
KH-364/2,Bhatinda Khurd,NH-44 Expansion,Award Enquiry,2024-11-22,40,325,1,1,Not Required,0.51,25.0,400,Critical,red
KH-767/7,Sultanpur,NH-44 Expansion,Section 11 (Notice),2024-04-19,257,108,1,0,Not Required,1.04,0.0,153,High,red
KH-412/5,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-04-26,250,115,0,0,Pending,0.58,60.3,194,Critical,red
KH-204/1,Sultanpur,Dedicated Freight Corridor,Possession Taken,2024-01-21,346,19,1,0,Not Required,0.82,100.0,120,High,green
KH-165/6,Bhatinda Khurd,Dedicated Freight Corridor,Section 19 (Declaration),2024-08-06,148,217,1,0,Not Required,0.86,38.3,166,High,red
KH-883/4,Rampur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-01-04,363,2,0,0,Not Required,0.5,31.7,72,Medium,yellow
KH-136/4,Bhatinda Khurd,Delhi-Amritsar Expressway,Possession Taken,2024-01-26,341,24,0,0,Not Required,0.95,100.0,1,Low,green
KH-960/9,Kalyanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-04-20,256,109,1,0,Not Required,0.49,0.0,211,Critical,red
KH-796/6,Fatehpur,NH-44 Expansion,Section 15 (Hearing),2024-06-19,196,169,1,0,Pending,0.56,0.0,273,Critical,red
KH-574/2,Mehrauli Dehat,NH-44 Expansion,Possession Taken,2024-02-24,312,53,1,0,Not Required,1.06,100.0,98,High,green
KH-222/7,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2024-11-20,42,323,1,1,Not Required,1.01,10.3,346,Critical,red
KH-568/3,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 11 (Notice),2024-04-12,264,101,0,0,Pending,0.63,0.0,65,Medium,yellow
KH-562/5,Kalyanpur,Delhi-Amritsar Expressway,Possession Taken,2023-11-22,406,-41,0,1,Approved,0.51,100.0,233,Critical,green
KH-513/7,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-11-28,34,331,0,0,Not Required,0.77,0.0,0,Low,green
KH-104/4,Kalyanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-10-12,81,284,0,0,Not Required,0.47,62.7,56,Medium,yellow
KH-845/9,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2024-01-01,366,-1,1,0,Not Required,1.1,17.0,147,High,red
KH-931/7,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2023-12-11,387,-22,1,1,Pending,1.09,0.0,369,Critical,red
KH-828/1,Mehrauli Dehat,Dedicated Freight Corridor,Possession Taken,2024-02-02,334,31,1,0,Not Required,0.43,100.0,181,Critical,green
KH-358/8,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2023-12-28,370,-5,1,0,Not Required,0.88,0.0,75,Medium,yellow
KH-778/9,Bhatinda Khurd,Delhi-Amritsar Expressway,Award Enquiry,2023-10-19,440,-75,1,0,Not Required,1.03,22.9,156,High,red
KH-304/5,Shahpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2023-12-23,375,-10,0,0,Approved,0.69,40.4,13,Low,green
KH-804/8,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 11 (Notice),2024-12-11,21,344,0,0,Not Required,0.87,0.0,5,Low,green
KH-192/9,Rampur,NH-44 Expansion,Section 19 (Declaration),2024-01-23,344,21,0,1,Pending,0.56,94.3,363,Critical,red
KH-536/2,Rampur,NH-44 Expansion,Section 11 (Notice),2024-10-08,85,280,1,0,Approved,0.86,0.0,69,Medium,yellow
KH-736/5,Fatehpur,NH-44 Expansion,Section 19 (Declaration),2023-10-27,432,-67,0,0,Not Required,0.64,37.4,0,Low,green
KH-955/7,Fatehpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-01-20,347,18,0,0,Approved,1.02,40.8,0,Low,green
KH-548/3,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-02-08,328,37,0,0,Not Required,0.42,74.5,52,Medium,yellow
KH-521/8,Rampur,NH-44 Expansion,Section 19 (Declaration),2024-01-17,350,15,1,0,Pending,0.62,29.7,285,Critical,red
KH-678/4,Fatehpur,Dedicated Freight Corridor,Possession Taken,2024-03-25,282,83,0,0,Approved,0.88,100.0,5,Low,green
